mov_id,mov_title,mov_year,mov_lang,mov_rel_country
901,Vertigo,1958,English,UK
902,The Innocents,1961,English,SW
903,Lawrence of Arabia,1962,English,UK
904,The Deer Hunter,1978,English,UK
905,Amadeus,1984,English,UK
906,Blade Runner,1982,English,UK
907,Eyes Wide Shut,1999,English,UK
908,The Usual Suspects,1995,English,UK
909,Chinatown,1974,English,UK
910,Boogie Nights,1997,English,UK
911,Annie Hall,1977,English,USA
912,Princess Mononoke,1997,Japanese,UK
913,The Shawshank Redemption,1994,English,UK
914,American Beauty,1999,English,UK
915,Titanic,1997,English,UK
916,Good Will Hunting,1997,English,UK
917,Deliverance,1972,English,UK
918,Trainspotting,1996,English,UK
919,The Prestige,2006,English,UK
920,Donnie Darko,2001,English,UK
921,Slumdog Millionaire,2008,English,UK
922,Aliens,1986,English,UK
923,Beyond the Sea,2004,English,UK
924,Avatar,2009,English,UK
926,Seven Samurai,1954,Japanese,JP
927,Spirited Away,2001,Japanese,UK
928,Back to the Future,1985,English,UK
925,Braveheart,1995,English,UK